"Year","Month","sex","race","age_x","obitos"
2011,2,"Male","Black",35,4
2011,2,"Male","Black",40,16
2011,2,"Male","Black",45,11
2011,2,"Male","Black",50,13
2011,2,"Male","Black",55,14
2011,2,"Male","Black",60,12
2011,2,"Male","Black",65,15
2011,2,"Male","Black",70,23
2011,2,"Male","Black",75,35
2011,2,"Male","Black",80,34
2011,2,"Female","Brown",0,45
2011,2,"Female","Brown",5,5
2011,2,"Female","Brown",10,2
2011,2,"Female","Brown",15,6
2011,2,"Female","Brown",20,10
2011,2,"Female","Brown",25,8
2011,2,"Female","Brown",30,13
2011,2,"Female","Brown",35,11
2011,2,"Female","Brown",40,16
2011,2,"Female","Brown",45,16
